Actual,Predicted
2.5,2.7886310481438974
4.0,4.205283242568131
4.0,3.4943627144852565
3.0,3.165539560315162
3.5,3.6236429704304074
4.0,4.060585572972911
4.0,3.9148394153920276
4.0,3.9396953612025
4.0,4.098725197208431
2.5,2.7421636002987344
3.5,3.8559349727629866
3.5,3.7463939286860146
4.0,4.103095108874003
4.0,3.780407887904375
3.0,3.720518309871575
3.5,3.9737757000061835
4.5,3.9493172996224333
4.0,3.883682456819373
4.5,4.223030615798351
4.0,4.115042396309022
4.0,3.787946559584863
4.5,4.147238386016497
3.0,3.170234659956723
3.5,3.4185075599250103
4.0,3.7418490125974095
4.0,3.94376558251542
4.0,4.089726315604368
3.0,2.884757320045205
4.0,4.102387828087144
4.0,4.065136259693
4.0,4.334874396875214
4.0,4.043160526063561
4.0,3.983360251636304
4.0,3.8658824054133363
1.5,1.3060166879662618
4.0,3.9703597341369683
4.5,4.464336123298612
4.0,4.207523509349706
4.5,4.302356266821182
4.0,4.016676800901201
4.0,3.9126866655924997
4.0,3.9276465094860837
4.0,3.7679703998599816
4.0,4.141949661014149
4.5,3.8820138462681073
3.5,3.3035687962816036
4.0,4.134102017954085
4.0,4.3696518382378855
4.5,4.474354203569771
4.0,4.183932975210306
3.0,2.9938402489408187
4.5,4.375985630561981
3.5,3.295916703105346
3.0,3.24940806908518
3.5,3.8777659477205186
4.0,4.112960539158491
4.5,4.099972123914096
3.5,3.7975791490441644
4.5,4.5447417415711096
4.5,4.162175315111876
3.5,3.665494388178935
4.5,4.235071899371147
4.5,4.246226243984486
4.0,3.9423325333434205
3.5,3.3028366277976944
3.5,3.763224988568185
4.0,3.9359064478699897
4.0,4.124336191081204
4.5,4.169297293442326
4.0,3.8741876492591394
3.5,3.3075101406397396
4.0,3.9075772771046053
4.0,4.173839599464398
4.0,4.407637091321148
4.0,4.019295159158899
4.0,4.01369393639755
4.0,4.4057274440988365
4.5,4.347086494506772
4.0,4.056314001554018
4.5,4.090877239934736
4.0,4.348637952333573
4.0,3.9951748636371263
4.0,3.8101446203973235
3.0,3.3733807815533208
5.0,4.297030417343663
4.5,4.225472094329238
4.0,3.7190052696520564
4.0,4.231527638346055
4.5,4.319396811076672
4.0,3.7856281724655854
4.0,4.058647277517816
4.0,4.260965301091914
4.5,3.4703219934784695
3.5,3.4914748773663753
4.5,4.3566792438460595
4.5,4.101830561162317
4.0,3.837507097557557
3.5,3.3933107597651397
4.0,3.7245697073829884
4.0,4.137206564067421
4.0,3.771545001310828
3.5,3.8046701159038934
4.5,4.2518437761658845
4.5,4.04874711212247
4.0,3.9730156574646736
2.5,2.565462334642916
3.0,3.088318737019306
4.0,3.756869957023646
4.0,4.117217847300995
3.5,3.411807418230082
4.5,4.320809375799222
4.5,4.215675045448265
4.0,4.102113742651492
3.5,3.989699956057365
3.5,3.8210353714427185
4.0,4.074295345375946
4.5,4.368708589132128
4.5,4.23269823764239
4.0,3.7311247981350073
4.5,4.164276486990527
4.0,4.1352214835903585
3.5,3.743725459223113
3.5,3.77632972650851
4.0,3.967156547826353
3.5,3.419804739976101
4.5,4.177264636457478
3.5,3.4292340010698013
3.5,4.033242556352551
4.5,3.6548297542969266
4.0,3.994588315976932
4.0,3.814152268165304
4.0,3.9296106505590727
3.5,3.87103999556608
4.0,4.028080300141179
4.0,4.2257075859292215
3.5,3.8715444968940123
4.0,4.328004170792237
4.0,4.4109188798643135
4.5,4.08134062593445
4.5,4.366640662441929
4.5,4.444233154756256
3.5,3.5122526660441222
3.5,3.507402172437926
4.0,4.119124746049431
4.5,4.1073578039130325
4.0,4.152987037797527
4.5,4.230538727113142
4.0,3.5565261491741733
3.0,3.2798109455327387
4.0,3.962667186630582
4.0,4.051502910044876
4.5,3.835447460245817
4.0,4.2348145431430115
3.5,3.9192180949590045
3.0,3.12470492822896
4.0,4.215254641067293
4.0,4.0444018478949815
4.5,3.5542006460887734
4.5,4.14426144043335
4.0,3.827398374356832
4.0,4.095037719971532
4.5,4.477521265462455
4.0,3.92034520288867
2.5,2.7950787642077253
3.5,4.034184671471577
4.5,4.2118890887720095
4.0,4.1566209398478176
3.0,3.034223436091206
4.0,3.998086045169332
4.0,4.259971502429625
4.0,4.026071453871788
3.5,3.776843616659045
3.5,2.9876985852817306
4.0,4.093220046163048
4.5,4.126010952942985
4.0,4.013026505662449
3.5,3.3954986193695755
4.5,4.212713853890648
2.5,2.8890492584873626
2.0,2.2063818356240286
4.5,4.42972299876959
4.0,4.387053031440006
3.5,3.6466553061614873
3.0,3.4380416682771795
4.0,4.069587028041349
3.0,2.5732084727031923
4.0,4.0569971678482215
4.0,4.033979272177937
4.5,4.23001571584383
3.0,3.2704567420671973
4.0,3.743806980395894
4.5,4.147403316665834
3.0,3.5773481030779584
3.0,3.0772197530903256
3.5,3.399632041057129
4.5,3.6187394153758725
4.5,4.25394235985959
4.0,3.960263814858729
3.5,3.624149714890536
4.0,3.9433070916368895
